Sparse 	0.072234 	 ms	S_Test : 3.75548e-08		 Dense 	0.029276	 msD_T : 3.75548e-08
Sparse 	0.04744 	 ms	S_Test : 2.18903e-07		 Dense 	0.052159	 msD_T : 2.18903e-07
Sparse 	0.062982 	 ms	S_Test : 1.75328e-07		 Dense 	0.089937	 msD_T : 1.75328e-07
Sparse 	0.076376 	 ms	S_Test : 4.07345e-07		 Dense 	0.136333	 msD_T : 4.07345e-07
Sparse 	0.088158 	 ms	S_Test : 8.62497e-07		 Dense 	0.206986	 msD_T : 8.62497e-07
Sparse 	0.103821 	 ms	S_Test : 7.90644e-07		 Dense 	0.243413	 msD_T : 7.90644e-07
Sparse 	0.119232 	 ms	S_Test : 6.98652e-07		 Dense 	0.306098	 msD_T : 6.98652e-07
Sparse 	0.156204 	 ms	S_Test : 1.2549e-07		 Dense 	0.456444	 msD_T : 1.2549e-07
Sparse 	0.173874 	 ms	S_Test : 8.49968e-08		 Dense 	0.512235	 msD_T : 8.49968e-08
Sparse 	0.294264 	 ms	S_Test : 9.36407e-07		 Dense 	0.560987	 msD_T : 9.36407e-07
Sparse 	0.189444 	 ms	S_Test : 8.992e-07		 Dense 	0.635299	 msD_T : 8.992e-07
Sparse 	0.201316 	 ms	S_Test : 7.57695e-07		 Dense 	0.750131	 msD_T : 7.57695e-07
Sparse 	0.510503 	 ms	S_Test : 8.34787e-07		 Dense 	1.70285	 msD_T : 8.34787e-07
Sparse 	0.893341 	 ms	S_Test : 1.03467e-07		 Dense 	2.12075	 msD_T : 1.03467e-07
Sparse 	0.542611 	 ms	S_Test : 9.95988e-07		 Dense 	1.91806	 msD_T : 9.95988e-07
Sparse 	0.571687 	 ms	S_Test : 8.78531e-08		 Dense 	2.845	 msD_T : 8.78531e-08
Sparse 	0.60032 	 ms	S_Test : 7.82667e-08		 Dense 	2.56216	 msD_T : 7.82667e-08
Sparse 	0.60476 	 ms	S_Test : 8.61572e-08		 Dense 	2.53566	 msD_T : 8.61572e-08
Sparse 	0.628711 	 ms	S_Test : 9.75608e-08		 Dense 	2.92478	 msD_T : 9.75608e-08
Sparse 	0.701698 	 ms	S_Test : 1.00987e-07		 Dense 	2.81278	 msD_T : 1.00987e-07
Sparse 	0.858891 	 ms	S_Test : 8.07232e-07		 Dense 	5.41295	 msD_T : 8.07232e-07
Sparse 	0.691706 	 ms	S_Test : 8.42299e-08		 Dense 	4.91848	 msD_T : 8.42299e-08
Sparse 	1.43897 	 ms	S_Test : 1.21393e-07		 Dense 	4.8082	 msD_T : 1.21393e-07
Sparse 	1.10543 	 ms	S_Test : 8.1329e-08		 Dense 	4.98823	 msD_T : 8.1329e-08
Sparse 	1.00205 	 ms	S_Test : 1.00591e-07		 Dense 	4.44546	 msD_T : 1.00591e-07
Sparse 	0.97298 	 ms	S_Test : 1.52535e-07		 Dense 	5.57266	 msD_T : 1.52535e-07
Sparse 	1.32191 	 ms	S_Test : 9.68552e-08		 Dense 	4.13281	 msD_T : 9.68552e-08
Sparse 	0.69493 	 ms	S_Test : 9.86748e-08		 Dense 	4.19772	 msD_T : 9.86748e-08
Sparse 	0.760481 	 ms	S_Test : 9.02141e-08		 Dense 	5.65603	 msD_T : 9.02141e-08
Sparse 	1.99134 	 ms	S_Test : 9.9349e-08		 Dense 	4.57777	 msD_T : 9.9349e-08
Sparse 	0.793215 	 ms	S_Test : 1.08244e-07		 Dense 	4.77925	 msD_T : 1.08244e-07
Sparse 	0.85013 	 ms	S_Test : 8.30591e-08		 Dense 	8.60155	 msD_T : 8.30591e-08
Sparse 	0.938733 	 ms	S_Test : 1.05172e-07		 Dense 	7.11882	 msD_T : 1.05172e-07
Sparse 	3.34456 	 ms	S_Test : 8.52362e-08		 Dense 	6.80362	 msD_T : 8.52362e-08
Sparse 	1.22473 	 ms	S_Test : 1.4222e-07		 Dense 	5.58876	 msD_T : 1.4222e-07
Sparse 	1.51294 	 ms	S_Test : 1.05363e-07		 Dense 	7.09217	 msD_T : 1.05363e-07
Sparse 	1.02833 	 ms	S_Test : 9.96793e-08		 Dense 	6.99561	 msD_T : 9.96793e-08
Sparse 	1.17958 	 ms	S_Test : 1.10968e-07		 Dense 	10.454	 msD_T : 1.10968e-07
Sparse 	1.18925 	 ms	S_Test : 1.42267e-07		 Dense 	7.18597	 msD_T : 1.42267e-07
Sparse 	1.88812 	 ms	S_Test : 9.34305e-07		 Dense 	10.2385	 msD_T : 9.34305e-07
Sparse 	1.20989 	 ms	S_Test : 1.39209e-07		 Dense 	8.2395	 msD_T : 1.39209e-07
Sparse 	1.18555 	 ms	S_Test : 1.27438e-07		 Dense 	11.3642	 msD_T : 1.27438e-07
Sparse 	3.29281 	 ms	S_Test : 1.34434e-07		 Dense 	10.0817	 msD_T : 1.34434e-07
Sparse 	1.27608 	 ms	S_Test : 1.20875e-07		 Dense 	10.6613	 msD_T : 1.20875e-07
Sparse 	1.54605 	 ms	S_Test : 1.08534e-07		 Dense 	10.8832	 msD_T : 1.08534e-07
Sparse 	3.13388 	 ms	S_Test : 1.06996e-07		 Dense 	14.5998	 msD_T : 1.06996e-07
Sparse 	2.09274 	 ms	S_Test : 1.23911e-07		 Dense 	12.2162	 msD_T : 1.23911e-07
Sparse 	1.81069 	 ms	S_Test : 1.06103e-07		 Dense 	13.3186	 msD_T : 1.06103e-07
Sparse 	3.57698 	 ms	S_Test : 1.11659e-07		 Dense 	14.163	 msD_T : 1.11659e-07
Sparse 	2.31654 	 ms	S_Test : 1.19455e-07		 Dense 	15.8428	 msD_T : 1.19455e-07
Sparse 	2.22669 	 ms	S_Test : 1.38661e-07		 Dense 	15.5269	 msD_T : 1.38661e-07
Sparse 	1.82631 	 ms	S_Test : 1.58697e-07		 Dense 	15.3358	 msD_T : 1.58697e-07
Sparse 	1.79871 	 ms	S_Test : 9.59148e-08		 Dense 	13.9285	 msD_T : 9.59148e-08
Sparse 	2.03953 	 ms	S_Test : 1.54835e-07		 Dense 	16.2922	 msD_T : 1.54835e-07
Sparse 	1.8018 	 ms	S_Test : 1.12864e-07		 Dense 	15.7314	 msD_T : 1.12864e-07
Sparse 	1.99786 	 ms	S_Test : 1.15605e-07		 Dense 	17.4438	 msD_T : 1.15605e-07
Sparse 	2.02217 	 ms	S_Test : 1.1622e-07		 Dense 	17.1638	 msD_T : 1.1622e-07
Sparse 	2.22 	 ms	S_Test : 1.05489e-07		 Dense 	19.4288	 msD_T : 1.05489e-07
Sparse 	3.4739 	 ms	S_Test : 9.41974e-08		 Dense 	20.0844	 msD_T : 9.41974e-08
Sparse 	2.13526 	 ms	S_Test : 1.12952e-07		 Dense 	17.4961	 msD_T : 1.12952e-07
Sparse 	2.63345 	 ms	S_Test : 1.49041e-07		 Dense 	17.664	 msD_T : 1.49041e-07
Sparse 	1.98588 	 ms	S_Test : 1.29711e-07		 Dense 	20.2046	 msD_T : 1.29711e-07
Sparse 	2.32201 	 ms	S_Test : 1.18732e-07		 Dense 	18.2601	 msD_T : 1.18732e-07
Sparse 	2.41479 	 ms	S_Test : 1.15553e-07		 Dense 	19.2133	 msD_T : 1.15553e-07
Sparse 	2.26705 	 ms	S_Test : 1.08407e-07		 Dense 	23.3506	 msD_T : 1.08407e-07
Sparse 	2.57127 	 ms	S_Test : 1.87931e-07		 Dense 	20.9311	 msD_T : 1.87931e-07
Sparse 	2.56037 	 ms	S_Test : 1.05241e-07		 Dense 	20.6687	 msD_T : 1.05241e-07
Sparse 	2.53051 	 ms	S_Test : 9.2632e-08		 Dense 	20.5329	 msD_T : 9.2632e-08
Sparse 	2.95241 	 ms	S_Test : 1.42225e-07		 Dense 	25.1026	 msD_T : 1.42225e-07
Sparse 	2.8138 	 ms	S_Test : 9.92025e-08		 Dense 	26.3866	 msD_T : 9.92025e-08
Sparse 	4.17557 	 ms	S_Test : 1.2614e-07		 Dense 	27.7771	 msD_T : 1.2614e-07
Sparse 	4.52854 	 ms	S_Test : 1.56188e-07		 Dense 	26.3129	 msD_T : 1.56188e-07
Sparse 	3.85828 	 ms	S_Test : 1.43147e-07		 Dense 	27.2706	 msD_T : 1.43147e-07
Sparse 	4.57635 	 ms	S_Test : 1.08498e-07		 Dense 	28.1054	 msD_T : 1.08498e-07
Sparse 	3.54328 	 ms	S_Test : 1.05818e-07		 Dense 	30.9432	 msD_T : 1.05818e-07
Sparse 	5.14821 	 ms	S_Test : 1.42787e-07		 Dense 	29.4908	 msD_T : 1.42787e-07
Sparse 	2.97469 	 ms	S_Test : 1.18285e-07		 Dense 	29.3174	 msD_T : 1.18285e-07
Sparse 	3.42267 	 ms	S_Test : 9.97409e-08		 Dense 	30.2876	 msD_T : 9.97409e-08
Sparse 	3.14661 	 ms	S_Test : 1.17943e-07		 Dense 	30.893	 msD_T : 1.17943e-07
Sparse 	3.42885 	 ms	S_Test : 1.49903e-07		 Dense 	36.1797	 msD_T : 1.49903e-07
Sparse 	5.18522 	 ms	S_Test : 1.30072e-07		 Dense 	33.0565	 msD_T : 1.30072e-07
Sparse 	4.73566 	 ms	S_Test : 1.16598e-07		 Dense 	32.0808	 msD_T : 1.16598e-07
Sparse 	5.29794 	 ms	S_Test : 1.44887e-07		 Dense 	37.4865	 msD_T : 1.44887e-07
Sparse 	4.88771 	 ms	S_Test : 1.24264e-07		 Dense 	36.5211	 msD_T : 1.24264e-07
Sparse 	4.75035 	 ms	S_Test : 1.06922e-07		 Dense 	34.429	 msD_T : 1.06922e-07
Sparse 	5.01588 	 ms	S_Test : 1.07396e-07		 Dense 	36.9423	 msD_T : 1.07396e-07
Sparse 	5.09926 	 ms	S_Test : 1.36735e-07		 Dense 	34.5344	 msD_T : 1.36735e-07
Sparse 	5.48977 	 ms	S_Test : 1.03838e-07		 Dense 	36.3077	 msD_T : 1.03838e-07
Sparse 	5.13938 	 ms	S_Test : 1.18662e-07		 Dense 	37.0032	 msD_T : 1.18662e-07
Sparse 	6.22257 	 ms	S_Test : 1.11481e-07		 Dense 	38.1239	 msD_T : 1.11481e-07
Sparse 	3.78248 	 ms	S_Test : 1.47937e-07		 Dense 	41.6495	 msD_T : 1.47937e-07
Sparse 	5.62812 	 ms	S_Test : 1.27467e-07		 Dense 	41.786	 msD_T : 1.27467e-07
Sparse 	5.64954 	 ms	S_Test : 9.42565e-08		 Dense 	43.8342	 msD_T : 9.42565e-08
Sparse 	5.87435 	 ms	S_Test : 1.37073e-07		 Dense 	40.8201	 msD_T : 1.37073e-07
Sparse 	5.58233 	 ms	S_Test : 1.28992e-07		 Dense 	44.8365	 msD_T : 1.28992e-07
Sparse 	6.46178 	 ms	S_Test : 1.39749e-07		 Dense 	45.2741	 msD_T : 1.39749e-07
Sparse 	7.90828 	 ms	S_Test : 1.3108e-07		 Dense 	44.7421	 msD_T : 1.3108e-07
Sparse 	8.12444 	 ms	S_Test : 1.39245e-07		 Dense 	54.0498	 msD_T : 1.39245e-07
Sparse 	8.50994 	 ms	S_Test : 9.1949e-08		 Dense 	47.5903	 msD_T : 9.1949e-08
Sparse 	7.62062 	 ms	S_Test : 1.45438e-07		 Dense 	50.3765	 msD_T : 1.45438e-07
